cid,years,director,category,number,name,awards,awards1,awards2,awards3,awards4,awards5,awards6,,,
C,2011,林育賢,劇情片,80000000,翻滾吧！阿信,香港亞洲電影大獎-最佳男配角,,,,,,,,,
C,2010,魏德聖,劇情片,318000000,賽德克‧巴萊,大阪亞洲電影節-觀眾票選獎,2012年華語電影傳媒大獎-最佳電影,,,,,,,,
D,2012,唐振瑜,紀錄片,0,落番,美國休士頓國際影展-文化類最佳紀錄片白金獎,,,,,,,,,
C,2011,連奕琦,劇情片,0,命運化妝師,義大利亞州電影節-最佳女主角獎,,,,,,,,,
C,2012,鄭芬芬,劇情片,0,熊熊愛上你,義大利亞州電影-最佳原創作品獎,,,,,,,,,
C,2011,李豐博、尹志文,劇情片,45000000,殺手歐陽盆栽,香港金像獎-最佳新演員獎,,,,,,,,,
C,2011,九把刀,劇情片,410000000,那些年，我們一起追的女孩,香港金像獎- 最佳兩岸華語電影獎,2012年華語電影傳媒大獎-最佳新導演獎(九把刀),2012年華語電影傳媒大獎-最佳新演員獎(柯震東),2012年華語電影傳媒大獎-觀眾票選最受矚目電影獎,2012年華語電影傳媒大獎-觀眾票選最受矚目表現獎(陳妍希),2012年紐約亞洲電影節- 亞洲新人獎（陳研希）,,,,
C,2011,陳宏一,劇情片,0,消失打看,瑞士佛瑞堡影展-評審團特別推薦獎,,,,,,,,,
A,2011,陳鈺杰,短片,0,小偷,日本東京短片節-亞洲國際競賽大賞,,,,,,,,,
C,2012,張榮吉,劇情片,53000000,逆光飛翔,釜山國際影展-最佳觀眾票選獎,2012年金馬國際影展-最佳新導演(張榮吉),2012年金馬國際影展-年度台灣傑出電影工作者(黃裕翔),2012年金馬國際影展-國際影評人費比西獎,2013年米蘭國際影展-最佳男主角(黃裕翔),,,,,
C,2012,楊雅喆,劇情片,56000000,女朋友男朋友,金馬國際影展-最佳女主角(桂綸鎂),2012年金馬國際影展-觀眾票選年度電影,2012年亞太影展 -最佳女主角(桂綸鎂),,,,,,,
C,2011,林書宇,劇情片,0,星空,德國國際兒童與青年觀眾影展-青少年電影競賽片獎,德國國際兒童與青年觀眾影展-青少年電影獎,2012年亞太影展 -最佳攝影,,,,,,,
C,2014,姜秀瓊 陳芯宜 何蔚庭 沈可尚,劇情片,0,昨日的記憶,德國曼漢姆國際影展-評審團特別獎,,,,,,,,,
C,2010,張作驥,劇情片,6600000,當愛來的時候,第11屆華語電影傳媒大獎-最佳影片、最佳劇本、最佳新人,,,,,,,,,
C,2011,李啟源,劇情片,0,河豚,日內瓦國際影展-最佳影評人獎、發行獎,,,,,,,,,
C,2011,林孝謙,劇情片,0,與愛別離,日本skip city國際影展-百萬首獎、導演獎、編劇獎,,,,,,,,,
D,2011,李靖惠,紀錄片,0,麵包情人,釜山國際影展-AND發行大獎,,,,,,,,,
